id 	 symbal	     lable	     description
0 	 /m/010016 	 Denton	 city in Texas, United States 
1 	 /m/0100mt 	 El Paso	 county seat of El Paso County, Texas, United States 
2 	 /m/0102t4 	 Marshall	 city in Texas, USA 
3 	 /m/0104lr 	 Beaumont	 county seat of Jefferson County, Texas, United States 
4 	 /m/0105y2 	 Lubbock	 county seat of Lubbock County, Texas, United States 
5 	 /m/0106dv 	 Waco	 city in Texas, United States 
6 	 /m/0108xl 	 Tyler	 city in east Texas, USA 
7 	 /m/0109vk 	 San Angelo	 city in Texas 
8 	 /m/010bnr 	 Laredo	 border city in Texas, USA 
9 	 /m/010bxh 	 Wichita Falls	 city in Texas, United States of America 
10 	 /m/010cw1 	 Hackensack, New Jersey	 city and county seat of Bergen County, New Jersey, United States 
11 	 /m/010dft 	 Logan	 city in Cache County, Utah 
12 	 /m/010h9y 	 Ogden	 city in Weber County, Utah, USA 
13 	 /m/010hn 	 Amy Grant	 American musician 
14 	 /m/010m55 	 McLean	 community in Fairfax County, Northern Virginia, USA 
15 	 /m/010nlt 	 Monte Carlo	 administrative area of the Principality of Monaco 
16 	 /m/010p3 	 Adam Carolla	 American radio personality, television host, comedian, and actor 
17 	 /m/010r6f 	 Bellevue	 city in the Eastside region of King County, Washington, United States 
18 	 /m/010rvx 	 Bremerton	 city in Kitsap County, Washington, United States 
19 	 /m/010t4v 	 Tacoma	 county seat of Pierce County, Washington, United States 
20 	 /m/010tkc 	 Everett	 city in Washington, United States of America 
21 	 /m/010v8k 	 Spokane	 county seat of Spokane County, Washington, United States 
22 	 /m/010xjr 	 Richard Harris	 Irish actor, singer, film director and writer 
23 	 /m/010y34 	 Morgantown	 county seat of Monongalia County, West Virginia, United States 
24 	 /m/010z5n 	 Parkersburg	 city 
25 	 /m/0113sg 	 Nikolai Gogol	 Russian writer 
26 	 /m/0114m0 	 La Crosse	 city in and county seat of La Crosse County, Wisconsin 
27 	 /m/0118d3 	 Racine	 city in and county seat of Racine County, Wisconsin, United States 
28 	 /m/011_3s 	 Lily Tomlin	 American actress, comedian, writer, and producer 
29 	 /m/011_6p 	 kazoo	 American musical instrument 
30 	 /m/011_vz 	 Faith No More	 American band 
31 	 /m/011hdn 	 Alice Cooper	 American rock singer, songwriter and musician 
32 	 /m/011hq1 	 Sikkim	 Indian state 
33 	 /m/011j5x 	 post-punk	 music genre 
34 	 /m/011k11 	 Decca Records	 US/British record label 
35 	 /m/011k1h 	 EMI	 British music recording and publishing company 
36 	 /m/011k4g 	 Carl Stalling	 Composer, arranger 
37 	 /m/011k_j 	 timpani	 musical instruments in the percussion family 
38 	 /m/011kn2 	 University of Ottawa	 uOttawa is the largest (English-French) university in the world located in Ottawa, Ontario, Canada 
39 	 /m/011lpr 	 Jack Webb	 American actor, producer, director, author 
40 	 /m/011lvx 	 Laurie Anderson	 American musician 
41 	 /m/011pcj 	 Dumfries and Galloway	 unitary council area of Scotland 
42 	 /m/011s0 	 advertising	 form of communication for marketing, typically paid for 
43 	 /m/011s9r 	 Joe Shuster	 co-creator the DC Comics character Superman 
44 	 /m/011v3 	 A.C. Milan	 professional association football club based in Milan, Italy 
45 	 /m/011vx3 	 Pete Seeger	 American folk singer 
46 	 /m/011w20 	 Bill Finger	 American comic strip and comic book writer 
47 	 /m/011w4n 	 Nancy	 city in Meurthe-et-Moselle, France 
48 	 /m/011w54 	 Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel	 economics award 
49 	 /m/011wdm 	 Boulogne-Billancourt	 commune in Hauts-de-Seine, France 
50 	 /m/011wtv 	 Minority Report	 2002 American neo-noir science fiction film 
51 	 /m/011x_4 	 Groundhog Day	 1993 comedy film 
52 	 /m/011xg5 	 A.I. Artificial Intelligence	 2001 American science fiction drama film by Steven Spielberg 
53 	 /m/011xhx 	 Kiss	 American band 
54 	 /m/011xjd 	 Lon Chaney, Jr.	 son of famous silent film actor Lon Chaney, was an American actor 
55 	 /m/011xy1 	 Trinity College Dublin	 constituent college of the University of Dublin in Ireland 
56 	 /m/011ycb 	 Quiz Show	 1994 film by Robert Redford 
57 	 /m/011yd2 	 Apollo 13	 1995 film by Ron Howard 
58 	 /m/011ydl 	 Babe	 1995 film by Chris Noonan 
59 	 /m/011yfd 	 Il Postino: The Postman	 1994 film by Michael Radford 
60 	 /m/011yg9 	 Sense and Sensibility	 1995 period drama film 
61 	 /m/011yhm 	 Fargo	 1996 film directed by Ethan and Joel Coen 
62 	 /m/011ykb 	 Jerry Maguire	 1996 American romantic comedy-drama sports film 
63 	 /m/011yl_ 	 Shine	 1996 Australian film 
64 	 /m/011yn5 	 As Good as It Gets	 1997 American romantic comedy film 
65 	 /m/011yph 	 The Full Monty	 1997 British comedy-drama film 
66 	 /m/011ypx 	 Good Will Hunting	 1997 film by Gus Van Sant 
67 	 /m/011yqc 	 L.A. Confidential	 1997 film by Curtis Hanson 
68 	 /m/011yr9 	 Elizabeth	 1998 biographical film 
69 	 /m/011yrp 	 Life Is Beautiful	 1997 film directed by Roberto Benigni 
70 	 /m/011ys5 	 farce	 comedy genre 
71 	 /m/011ysn 	 The Thin Red Line	 1998 film by Terrence Malick 
72 	 /m/011yth 	 The Insider	 1999 film directed by Michael Mann 
73 	 /m/011ywj 	 Gosford Park	 2001 film by Robert Altman 
74 	 /m/011yxg 	 Moulin Rouge!	 2001 film by Baz Luhrmann 
